Date;Octocoral;Scleractinian;Macroalgae;CTB
01/01/1987;45;44.6172413793103;2.21379310344828;35.3793103448276
01/01/1988;53;43.7216666666667;4.655;26.12
01/01/1989;35;38.9691666666667;13.0016666666667;20.0538888888889
01/01/1990;29;33.1034482758621;29.3448275862069;19.7758620689655
01/01/1991;40;30.7666666666667;6.6;40.5166666666667
01/01/1992;27;31.435;3.79;45.715
01/01/1993;25;31.8066666666667;9.62333333333333;40.7433333333333
01/01/1994;30;35.74;17.2333333333333;25.4233333333333
01/01/1995;24;29.7433333333333;13.0333333333333;33.6833333333333
01/01/1996;12;20.9533333333333;24.6666666666667;33.4466666666667
01/01/1997;16;23.5;52.3666666666667;21.5
01/01/1998;15;20.2133333333333;25.9;27.25
01/01/1999;19;11.87;38.0066666666667;23.2766666666667
01/01/2000;14;11.9333333333333;36.8133333333333;18.9433333333333
01/01/2001;26;11.6133333333333;25.4466666666667;43.28
01/01/2002;29;12.79;39.4033333333333;34.3466666666667
01/01/2003;21;12.2966666666667;23.88;28.06
01/01/2004;15;11.6766666666667;20.5866666666667;14.3666666666667
01/01/2005;30;13.8033333333333;28.1866666666667;39.3
01/01/2006;39;8.88333333333333;47.32;29.9366666666667
01/01/2007;40;6.69333333333333;26.4666666666667;55.1033333333333
01/01/2008;52;8.14;27.0933333333333;52.7533333333333
01/01/2009;62;7.87666666666667;40.3933333333333;36.3633333333333
01/01/2010;78;8.4;46.6533333333333;26.8433333333333
01/01/2011;66;6.74333333333333;37.7866666666667;44.24
01/01/2012;63;7.12666666666667;42.8433333333333;43.6566666666667
01/01/2013;77;5.63333333333333;32.8766666666667;53.0166666666667
01/01/2017;NA;5.66666666666667;47.5416666666667;32.9283333333333
01/01/2018;NA;4.45666666666667;32.49;56.49
01/01/2019;NA;5.6075;42.8191666666667;36.7341666666667
01/01/2020;NA;3.50333333333333;36.02;42.8566666666667
